x,y,z
-2.045753,0.000302,-82.547424
5.574640,0.005859,-90.450066
0.154136,0.002296,-90.936035
-2.748359,0.000093,-90.912086
-4.419317,0.000086,-90.670929
8.379280,0.011682,-89.936371
-11.375948,2.980209,-89.867638
14.606854,0.000131,-88.309853
-13.655376,0.000287,-88.097015
14.046262,1.232337,-88.979088
17.879208,0.015375,-87.286880
-17.955360,0.001894,-86.264114
23.199120,1.629915,-85.767113
24.533112,1.445495,-84.974495
-22.413139,0.002997,-83.915970
28.867704,0.016361,-81.415611
6.545391,0.003396,-83.441544
-12.332588,0.003885,-83.267746
8.751339,0.528055,-83.746986
23.191879,0.000261,-84.913498
12.646332,0.933768,-83.011810
12.047806,0.002756,-83.290588
5.205989,0.918728,-82.410263
-15.227611,0.002958,-81.869186
-26.196775,0.005903,-81.658455
-2.429262,0.901423,-82.575226
14.801414,-0.000016,-82.293274
4.755041,0.005869,-82.042816
-17.181522,0.032776,-80.663269
2.765373,-0.001415,-80.066185
17.809628,0.000142,-81.298119
18.573540,0.744275,-80.928009
-0.493664,0.003576,-81.348900
0.696271,1.485269,-80.029022
-19.150892,0.893679,-79.324219
-30.365753,0.005419,-78.725464
33.580658,-0.002669,-78.074867
