I,J,K
4855,3818,966
259,1598,394
4444,4447,4446
4446,4447,4448
129,4447,3134
3541,1111,4448
1111,1964,3036
1965,1964,1111
1964,1965,3804
1965,2532,3804
4453,3894,3876
3876,4455,4454
3876,4454,4453
4456,4453,4454
3894,4453,2683
4453,4456,2683
4455,4457,4458
3063,4493,2055
275,906,3063
4463,906,275
729,2279,2258
4463,4014,1528
4471,4470,4469
2078,4471,4469
4473,4471,2078
4419,2598,1848
2610,1848,2598
2610,1957,1848
2610,4474,3973
4475,4474,4307
4476,4475,4307
4476,4477,4475
4476,4479,4477
1171,4474,4475
4474,1171,3973
4477,4479,3507
3507,2202,4481
4480,4481,2202
4480,4482,4481
2673,4482,4480
2673,4484,4485
4487,354,1142
4489,4490,315
4490,4459,315
2346,4459,4490
4064,4493,3063
4493,4064,2764
4493,2764,4496
4429,1717,3561
2104,4877,557
4064,3561,2364
4520,4497,4502
1822,1424,2669
4499,4498,4504
2867,3240,3487
100,3885,656
3487,3240,4506
4504,4506,3240
4504,4508,4506
4506,4310,3487
4310,4506,4508
3240,1300,4499
4499,1300,441
4508,4498,4515
4508,4504,4498
3012,1272,838
4310,838,1272
828,325,2970
838,4510,3012
4510,838,4514
4516,4508,4515
4516,4517,441
4516,4515,4517
4517,4519,4502
4517,4515,4519
4519,4520,4502
680,450,1999
2229,2899,1015
2630,2469,4001
1985,231,2602
4522,4179,4001
4522,4001,2469
2873,918,1352
5777,4280,6605
2778,4522,2469
2778,2469,4525
2778,423,618
656,4529,3283
2778,4530,3655
4530,1798,3655
2778,2777,4530
4533,138,3912
1986,1511,3888
536,2581,655
4533,3912,4528
1664,4537,5251
4537,1798,5251
4537,4538,1798
4538,1283,181
181,4115,4538
4115,4539,4540
3220,4115,2842
2064,3419,1810
2842,4115,4540
4540,4539,4541
2975,4514,838
4538,4115,3220
3090,3112,2551
2005,4452,4547
2032,303,1802
3478,4452,468
1195,3731,3686
4551,3686,3731
3503,3686,4551
2403,3686,3503
4987,346,3985
870,475,748
2403,984,3686
4553,4467,4554
4554,4468,4553
951,298,3949
3324,152,169
3591,1437,2529
4592,4593,4559
4564,4565,4569
4565,4566,4569
4567,4569,4566
4564,4572,4567
2608,4572,4564
4564,4569,2608
1070,4402,4465
1288,3630,1006
4573,4565,4742
4564,4567,4565
4573,4566,4565
3718,4566,4573
4577,4575,4566
4566,3718,4577
1397,3001,3186
3718,4576,3624
1270,4578,3718
2608,4569,4571
4580,4572,2608
4572,4579,4569
4567,4566,4958
4328,4566,4575
