NO_OF_FRAMES	7320
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:50:43.813	92047.82596720
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
54	0.26500	417.644	334.834	220.995	390.122	393.588	177.513	450.160	324.717	133.829	387.716	300.476	186.730	-156.208	297.888	188.697	-172.879	342.888	68.623	-170.657	301.131	191.414	-177.244	308.375	242.903	-179.607	270.242	227.626	-150.910	264.152	279.270	-186.975	370.810	4.522
55	0.27000	417.639	334.835	221.005	390.113	393.583	177.507	450.165	324.733	133.814	387.716	300.471	186.729	-156.698	296.959	189.731	-172.504	342.014	69.535	-171.230	300.268	192.403	-178.191	307.387	243.737	-180.525	269.302	228.341	-152.355	262.946	280.237	-186.435	369.811	5.345
56	0.27500	417.645	334.830	220.994	390.113	393.574	177.506	450.160	324.715	133.816	387.714	300.482	186.727	-157.108	296.043	190.752	-172.272	341.043	70.300	-171.588	299.332	193.239	-179.072	306.383	244.590	-181.333	268.312	229.074	-153.680	261.808	281.201	-185.778	368.231	5.904
57	0.28000	417.648	334.823	220.998	390.123	393.571	177.506	450.166	324.728	133.815	387.722	300.478	186.722	-157.470	295.070	191.846	-171.688	340.104	71.356	-172.038	298.461	194.286	-179.837	305.408	245.472	-182.064	267.379	229.931	-154.828	260.716	282.228	-185.227	367.510	6.883
58	0.28500	417.646	334.832	220.995	390.119	393.583	177.503	450.173	324.729	133.819	387.718	300.475	186.715	-157.711	294.139	192.927	-171.435	339.011	72.212	-172.314	297.543	195.325	-180.472	304.479	246.424	-182.605	266.439	230.823	-155.782	259.706	283.317	-184.536	365.809	7.459
59	0.29000	417.645	334.834	221.002	390.116	393.580	177.501	450.174	324.733	133.809	387.718	300.495	186.712	-157.872	293.270	194.010	-170.844	337.992	73.281	-172.462	296.665	196.325	-180.928	303.592	247.367	-183.029	265.559	231.815	-156.501	258.827	284.484	-183.985	364.980	8.648
60	0.29500	417.653	334.826	220.999	390.117	393.593	177.503	450.170	324.742	133.805	387.718	300.494	186.723	-157.898	292.423	195.146	-170.559	336.816	74.198	-172.537	295.831	197.433	-181.236	302.857	248.390	-183.257	264.774	232.857	-156.987	258.121	285.694	-183.289	363.206	9.241
61	0.30000	417.649	334.840	220.990	390.121	393.582	177.514	450.169	324.734	133.804	387.719	300.490	186.714	-157.811	291.607	196.323	-169.928	335.717	75.231	-172.377	294.992	198.399	-181.348	302.183	249.473	-183.310	264.029	233.973	-157.253	257.505	286.944	-182.803	362.281	10.439
62	0.30500	417.640	334.852	220.986	390.121	393.592	177.496	450.172	324.752	133.805	387.724	300.514	186.721	-157.650	290.814	197.559	-169.662	334.428	76.167	-172.290	294.287	199.701	-181.270	301.606	250.556	-183.229	263.426	235.244	-157.231	257.108	288.303	-182.059	360.420	11.026
63	0.31000	417.641	334.863	220.998	390.119	393.597	177.490	450.170	324.755	133.807	387.714	300.506	186.732	-157.383	290.053	198.813	-169.179	333.185	77.180	-171.997	293.553	200.860	-181.020	301.137	251.776	-182.934	262.834	236.613	-156.989	256.816	289.683	-181.411	358.920	11.921
64	0.31500	417.641	334.868	220.986	390.122	393.595	177.506	450.161	324.750	133.805	387.725	300.500	186.733	-156.987	289.349	199.986	-168.683	331.880	78.296	-171.657	292.880	202.092	-180.577	300.753	252.946	-182.539	262.375	238.052	-156.508	256.707	291.137	-180.677	357.533	12.818
65	0.32000	417.634	334.862	220.985	390.115	393.603	177.488	450.171	324.750	133.807	387.718	300.512	186.723	-156.509	288.693	201.252	-168.168	330.532	79.289	-171.065	292.154	203.229	-180.019	300.457	254.168	-181.990	261.949	239.591	-155.870	256.692	292.628	-179.956	356.003	13.712
66	0.32500	417.628	334.858	220.989	390.114	393.604	177.487	450.170	324.741	133.812	387.712	300.533	186.714	-155.956	288.005	202.559	-167.636	329.167	80.424	-170.608	291.555	204.684	-179.299	300.247	255.440	-181.318	261.577	241.189	-155.052	256.750	294.170	-179.153	354.459	14.635
67	0.33000	417.634	334.858	220.982	390.113	393.602	177.489	450.168	324.760	133.799	387.706	300.517	186.723	-155.336	287.406	203.830	-167.037	327.762	81.506	-169.905	290.831	205.905	-178.300	300.062	256.649	-180.658	261.384	242.687	-154.099	256.898	295.739	-178.454	352.885	15.651
68	0.33500	417.638	334.864	220.989	390.112	393.600	177.489	450.166	324.754	133.810	387.711	300.524	186.717	-154.623	286.717	205.174	-166.415	326.380	82.612	-169.278	290.322	207.349	-177.418	299.937	257.859	-179.852	261.077	244.330	-153.106	257.066	297.284	-177.608	351.246	16.633
69	0.34000	417.631	334.853	220.979	390.110	393.604	177.492	450.167	324.756	133.816	387.710	300.516	186.718	-153.908	286.057	206.520	-165.720	324.971	83.753	-168.530	289.666	208.710	-176.513	299.720	259.199	-178.976	260.781	245.939	-152.054	257.239	298.896	-176.755	349.663	17.628
70	0.34500	417.634	334.852	220.989	390.108	393.605	177.511	450.162	324.745	133.801	387.702	300.531	186.722	-153.124	285.370	207.879	-164.936	323.540	84.835	-167.759	288.920	210.096	-175.612	299.501	260.474	-178.087	260.455	247.610	-151.010	257.375	300.495	-175.797	348.004	18.698
71	0.35000	417.625	334.854	220.995	390.107	393.594	177.493	450.159	324.755	133.804	387.698	300.513	186.724	-152.305	284.677	209.271	-164.118	322.107	86.035	-166.928	288.370	211.388	-174.666	299.256	261.751	-177.170	260.045	249.203	-150.011	257.442	302.070	-174.785	346.347	19.703
72	0.35500	417.629	334.858	220.982	390.103	393.600	177.496	450.159	324.742	133.803	387.700	300.517	186.720	-151.485	283.969	210.656	-163.205	320.654	87.167	-166.108	287.567	212.769	-173.863	298.866	263.092	-176.333	259.618	250.845	-149.094	257.381	303.669	-173.709	344.658	20.837
73	0.36000	417.623	334.864	220.984	390.107	393.597	177.498	450.155	324.759	133.801	387.693	300.500	186.720	-150.662	283.192	212.090	-162.230	319.204	88.446	-165.309	286.787	214.169	-173.027	298.434	264.403	-175.494	259.104	252.362	-148.257	257.234	305.260	-172.500	342.987	21.913
