NO_OF_FRAMES	6378
NO_OF_CAMERAS	14
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:36:43.083	87607.09578570
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter_tip1	catheter_tip2	catheter_tip3	catheter_tip4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Virtual	Measured
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter_tip1 X	catheter_tip1 Y	catheter_tip1 Z	catheter_tip2 X	catheter_tip2 Y	catheter_tip2 Z	catheter_tip3 X	catheter_tip3 Y	catheter_tip3 Z	catheter_tip4 X	catheter_tip4 Y	catheter_tip4 Z	
80	0.39500	338.573	353.319	182.627	302.076	413.400	148.529	351.601	347.208	90.464	301.804	320.007	154.357	303.301	84.545	-20.446	356.257	72.250	3.572	60.932	67.665	-21.767	305.143	42.738	-19.795
81	0.40000	338.589	353.311	182.628	302.082	413.391	148.519	351.597	347.203	90.467	301.793	320.024	154.365	303.309	84.551	-20.448	356.255	72.253	3.571	60.980	67.444	-21.898	305.270	42.816	-19.821
82	0.40500	338.580	353.321	182.629	302.081	413.394	148.527	351.593	347.217	90.465	301.794	320.015	154.368	303.310	84.546	-20.448	356.260	72.262	3.585	60.988	67.384	-21.943	305.283	42.816	-19.819
83	0.41000	338.585	353.321	182.629	302.098	413.388	148.516	351.603	347.200	90.463	301.793	320.014	154.369	303.299	84.543	-20.449	356.260	72.259	3.582	60.987	67.336	-21.890	305.297	42.802	-19.794
84	0.41500	338.587	353.331	182.620	302.084	413.396	148.515	351.597	347.198	90.462	301.798	320.016	154.360	303.304	84.559	-20.437	356.262	72.261	3.577	60.983	67.396	-21.879	305.280	42.827	-19.827
85	0.42000	338.590	353.326	182.617	302.091	413.391	148.512	351.608	347.216	90.465	301.794	320.025	154.370	303.310	84.557	-20.448	356.262	72.258	3.580	60.984	67.450	-21.926	305.271	42.823	-19.826
86	0.42500	338.595	353.343	182.621	302.103	413.405	148.511	351.610	347.216	90.461	301.805	320.025	154.364	303.313	84.566	-20.443	356.270	72.259	3.580	60.990	67.438	-21.878	305.282	42.807	-19.808
87	0.43000	338.611	353.343	182.612	302.096	413.404	148.504	351.614	347.225	90.460	301.805	320.025	154.367	303.295	84.565	-20.438	356.274	72.257	3.576	60.980	67.445	-21.776	305.276	42.810	-19.785
88	0.43500	338.596	353.350	182.606	302.102	413.404	148.501	351.606	347.228	90.449	301.813	320.038	154.368	303.301	84.544	-20.449	356.259	72.260	3.573	60.984	67.358	-21.889	305.289	42.817	-19.815
89	0.44000	338.609	353.350	182.618	302.100	413.419	148.483	351.612	347.222	90.450	301.812	320.039	154.361	303.323	84.527	-20.471	356.260	72.252	3.584	60.939	67.773	-21.897	305.124	42.736	-19.788
90	0.44500	338.612	353.349	182.605	302.107	413.433	148.490	351.616	347.221	90.448	301.818	320.049	154.358	303.304	84.556	-20.441	356.263	72.266	3.572	60.981	67.405	-21.846	305.277	42.823	-19.814
91	0.45000	338.603	353.366	182.608	302.106	413.425	148.496	351.609	347.221	90.441	301.813	320.041	154.351	303.308	84.546	-20.444	356.264	72.262	3.575	60.983	67.403	-21.837	305.277	42.799	-19.790
