NO_OF_FRAMES	12020
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:49:28.214	91972.22731710
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
44	0.21500	418.742	335.014	221.180	390.961	393.702	177.864	451.060	325.431	133.944	388.699	300.507	187.120	317.235	481.546	15.037	188.676	481.761	2.690	314.775	481.769	30.905	360.816	513.368	30.638	356.697	480.122	54.063	412.693	477.221	34.172	117.824	488.201	2.124
45	0.22000	418.742	335.014	221.172	390.961	393.711	177.858	451.050	325.426	133.950	388.705	300.506	187.120	317.237	481.552	15.029	188.682	481.757	2.665	314.779	481.768	30.910	360.813	513.372	30.645	356.706	480.135	54.058	412.697	477.216	34.167	117.832	488.239	2.144
46	0.22500	418.750	335.008	221.177	390.968	393.702	177.865	451.060	325.430	133.945	388.705	300.499	187.109	317.226	481.571	15.019	188.688	481.768	2.686	314.783	481.771	30.906	360.814	513.363	30.645	356.717	480.119	54.066	412.697	477.205	34.181	117.833	488.219	2.085
47	0.23000	418.751	335.007	221.170	390.974	393.697	177.865	451.073	325.421	133.945	388.711	300.499	187.114	317.234	481.542	15.014	188.677	481.778	2.640	314.781	481.759	30.914	360.818	513.377	30.638	356.712	480.130	54.065	412.713	477.209	34.182	117.833	488.210	2.110
48	0.23500	418.758	335.011	221.176	390.967	393.710	177.857	451.068	325.424	133.944	388.712	300.500	187.103	317.222	481.525	15.034	188.699	481.740	2.676	314.790	481.773	30.907	360.821	513.371	30.636	356.713	480.115	54.065	412.693	477.214	34.166	117.864	488.200	2.135
49	0.24000	418.756	335.011	221.170	390.965	393.717	177.863	451.069	325.424	133.943	388.704	300.489	187.107	317.256	481.542	15.030	188.690	481.772	2.663	314.785	481.769	30.909	360.837	513.357	30.636	356.721	480.120	54.064	412.705	477.201	34.181	117.832	488.195	2.101
50	0.24500	418.753	335.006	221.163	390.967	393.698	177.859	451.064	325.417	133.935	388.716	300.496	187.114	317.251	481.549	15.021	188.704	481.768	2.655	314.788	481.757	30.910	360.824	513.366	30.632	356.731	480.115	54.068	412.714	477.209	34.183	117.813	488.225	2.104
51	0.25000	418.760	335.006	221.167	390.973	393.712	177.867	451.067	325.415	133.938	388.709	300.492	187.109	317.252	481.539	15.031	188.687	481.757	2.687	314.800	481.762	30.909	360.820	513.357	30.640	356.732	480.119	54.067	412.705	477.216	34.184	117.836	488.207	2.109
52	0.25500	418.758	335.010	221.170	390.970	393.712	177.856	451.068	325.428	133.944	388.731	300.497	187.117	317.231	481.548	15.035	188.693	481.768	2.658	314.793	481.769	30.912	360.831	513.362	30.643	356.724	480.116	54.143	412.702	477.215	34.177	117.851	488.206	2.104
53	0.26000	418.759	335.009	221.171	390.984	393.696	177.864	451.069	325.424	133.943	388.722	300.502	187.108	317.251	481.549	15.018	188.697	481.755	2.668	314.800	481.764	30.915	360.850	513.367	30.632	356.732	480.123	54.131	412.704	477.215	34.177	117.844	488.177	2.124
