NO_OF_FRAMES	5630
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:03:50.756	89234.76822660
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
37	0.18000	419.913	339.225	221.135	390.545	397.106	177.881	451.972	330.146	133.762	390.581	303.995	187.309	316.935	472.233	47.145	190.764	474.968	17.306	319.211	464.797	34.029	364.649	441.956	29.861	364.057	483.902	30.324	412.368	469.439	61.836	122.756	468.522	-0.526
38	0.18500	419.913	339.230	221.127	390.556	397.103	177.885	451.973	330.159	133.761	390.623	303.880	187.430	316.938	472.219	47.155	190.764	474.968	17.295	319.231	464.800	34.038	364.645	441.930	29.863	364.050	483.901	30.332	412.371	469.427	61.834	122.589	469.039	-1.092
39	0.19000	419.909	339.231	221.135	390.550	397.098	177.890	451.983	330.149	133.752	390.592	303.990	187.318	316.910	472.197	47.181	190.762	474.968	17.311	319.222	464.795	34.030	364.646	441.931	29.879	364.059	483.891	30.334	412.365	469.433	61.839	122.587	469.046	-1.098
40	0.19500	419.919	339.235	221.124	390.556	397.107	177.884	451.975	330.147	133.755	390.583	303.994	187.313	316.920	472.201	47.170	190.755	474.967	17.322	319.237	464.917	33.966	364.596	441.938	29.853	364.058	483.924	30.326	412.375	469.431	61.830	122.598	469.046	-1.093
41	0.20000	419.917	339.238	221.133	390.559	397.102	177.886	451.977	330.156	133.758	390.584	303.992	187.309	316.927	472.222	47.149	190.761	474.942	17.332	319.230	464.790	34.042	364.631	441.946	29.864	364.059	483.891	30.329	412.372	469.432	61.832	122.607	469.028	-1.090
42	0.20500	419.922	339.242	221.125	390.562	397.108	177.882	451.976	330.150	133.753	390.588	304.001	187.299	316.931	472.219	47.146	190.758	474.943	17.325	319.244	464.923	33.962	364.660	441.955	29.856	364.061	483.907	30.348	412.370	469.444	61.830	122.592	469.041	-1.072
43	0.21000	419.923	339.235	221.130	390.561	397.090	177.888	451.979	330.158	133.757	390.582	303.990	187.292	316.933	472.225	47.148	190.750	474.940	17.348	319.225	464.786	34.026	364.653	441.929	29.872	364.066	483.879	30.327	412.377	469.432	61.840	122.586	469.056	-1.097
44	0.21500	419.923	339.237	221.130	390.561	397.139	177.861	451.937	330.104	133.751	390.591	304.009	187.288	316.941	472.203	47.139	190.748	474.941	17.337	319.236	464.911	33.956	364.618	441.922	29.854	364.045	483.909	30.348	412.372	469.414	61.838	122.755	468.530	-0.519
45	0.22000	419.919	339.242	221.128	390.558	397.100	177.883	451.985	330.156	133.758	390.589	304.010	187.284	316.933	472.221	47.134	190.748	474.916	17.336	319.237	464.916	33.945	364.651	441.953	29.872	364.065	483.915	30.350	412.371	469.429	61.834	122.589	469.038	-1.118
46	0.22500	419.919	339.236	221.128	390.558	397.094	177.893	451.975	330.156	133.761	390.591	304.010	187.288	316.935	472.223	47.133	190.743	474.915	17.345	319.254	464.907	33.954	364.605	441.925	29.845	364.068	483.896	30.345	412.372	469.434	61.845	122.606	469.040	-1.121
47	0.23000	419.920	339.230	221.130	390.561	397.095	177.890	451.983	330.162	133.765	390.591	304.013	187.283	316.946	472.216	47.129	190.746	474.926	17.368	319.241	464.916	33.954	364.670	441.927	29.846	364.058	483.898	30.322	412.379	469.424	61.824	122.602	469.043	-1.098
48	0.23500	419.922	339.234	221.127	390.567	397.096	177.893	451.977	330.154	133.759	390.591	304.000	187.288	316.941	472.221	47.145	190.750	474.899	17.362	319.225	464.792	34.028	364.664	441.929	29.853	364.072	483.887	30.337	412.378	469.421	61.833	122.586	469.045	-1.112
49	0.24000	419.917	339.230	221.131	390.574	397.098	177.883	451.983	330.162	133.759	390.606	304.015	187.286	316.931	472.204	47.162	190.734	474.902	17.365	319.237	464.910	33.953	364.664	441.946	29.869	364.068	483.898	30.334	412.375	469.426	61.834	122.586	469.040	-1.095
50	0.24500	419.925	339.228	221.124	390.569	397.095	177.887	451.971	330.159	133.753	390.601	304.002	187.289	316.936	472.209	47.168	190.742	474.900	17.377	319.250	464.915	33.965	364.627	441.940	29.862	364.073	483.874	30.327	412.383	469.420	61.827	122.758	468.540	-0.539
51	0.25000	419.933	339.237	221.130	390.575	397.093	177.888	451.985	330.157	133.757	390.606	304.014	187.288	316.926	472.208	47.167	190.742	474.870	17.391	319.262	464.906	33.960	364.646	441.922	29.859	364.068	483.880	30.348	412.377	469.428	61.834	122.594	469.025	-1.115
52	0.25500	419.928	339.235	221.134	390.570	397.095	177.897	451.987	330.161	133.751	390.606	304.001	187.295	316.934	472.200	47.168	190.744	474.875	17.399	319.257	464.892	33.982	364.627	441.925	29.865	364.060	483.882	30.342	412.373	469.421	61.831	122.598	469.044	-1.085
53	0.26000	419.935	339.227	221.139	390.575	397.099	177.886	451.982	330.164	133.748	390.639	303.894	187.410	316.927	472.207	47.164	190.751	474.857	17.398	319.237	464.793	34.026	364.619	441.956	29.871	364.072	483.877	30.321	412.388	469.415	61.828	122.595	469.009	-1.097
54	0.26500	419.927	339.226	221.126	390.584	397.088	177.891	451.990	330.154	133.753	390.607	304.017	187.270	316.953	472.222	47.132	190.770	474.865	17.393	319.243	464.773	34.053	364.675	441.935	29.878	364.067	483.885	30.334	412.375	469.422	61.837	122.606	469.022	-1.119
55	0.27000	419.930	339.237	221.124	390.570	397.090	177.900	451.985	330.160	133.757	390.596	304.015	187.264	316.919	472.201	47.156	190.767	474.845	17.425	319.239	464.757	34.040	364.640	441.919	29.860	364.064	483.901	30.347	412.385	469.426	61.833	122.597	469.021	-1.099
56	0.27500	419.926	339.235	221.128	390.571	397.100	177.887	451.980	330.152	133.749	390.595	304.024	187.281	316.910	472.212	47.168	190.777	474.849	17.421	319.251	464.926	33.942	364.679	441.936	29.867	364.075	483.874	30.323	412.370	469.410	61.848	122.613	469.018	-1.107
