NO_OF_FRAMES	5500
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:57:21.232	88845.24398590
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, no marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Virtual
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
57	0.28000	420.506	336.740	221.159	391.082	395.227	178.493	452.253	328.383	133.587	391.073	301.773	187.153	317.818	476.966	47.198	191.768	475.501	18.634	319.739	469.106	34.306	365.205	447.095	29.868	364.325	489.206	30.333	412.554	475.030	62.276	124.109	468.454	-3.475
58	0.28500	420.504	336.745	221.162	391.084	395.241	178.486	452.252	328.366	133.578	391.080	301.786	187.144	317.832	476.979	47.184	191.764	475.500	18.621	319.749	469.115	34.310	365.210	447.104	29.850	364.318	489.196	30.338	412.554	475.056	62.284	124.115	468.445	-3.492
59	0.29000	420.502	336.750	221.156	391.077	395.240	178.482	452.252	328.375	133.573	391.075	301.795	187.154	317.817	476.968	47.198	191.760	475.510	18.600	319.749	469.125	34.300	365.207	447.085	29.850	364.322	489.206	30.354	412.553	475.045	62.281	124.116	468.466	-3.517
60	0.29500	420.500	336.738	221.162	391.086	395.232	178.485	452.258	328.373	133.569	391.116	301.661	187.285	317.823	476.992	47.205	191.765	475.502	18.598	319.743	469.125	34.298	365.218	447.091	29.860	364.321	489.207	30.354	412.547	475.050	62.281	124.118	468.455	-3.519
61	0.30000	420.499	336.747	221.158	391.078	395.241	178.490	452.251	328.381	133.577	391.067	301.796	187.130	317.823	476.984	47.202	191.763	475.524	18.570	319.749	469.136	34.290	365.206	447.103	29.857	364.307	489.248	30.349	412.552	475.046	62.274	124.120	468.483	-3.550
62	0.30500	420.506	336.747	221.173	391.086	395.237	178.489	452.256	328.381	133.580	391.075	301.791	187.136	317.828	476.988	47.191	191.762	475.510	18.582	319.742	469.120	34.289	365.207	447.084	29.851	364.333	489.206	30.349	412.554	475.038	62.267	124.120	468.471	-3.533
63	0.31000	420.506	336.740	221.163	391.088	395.228	178.500	452.253	328.383	133.583	391.071	301.790	187.153	317.822	476.971	47.205	191.761	475.529	18.571	319.738	469.132	34.299	365.205	447.100	29.864	364.323	489.229	30.338	412.557	475.025	62.270	124.119	468.495	-3.542
64	0.31500	420.512	336.750	221.158	391.075	395.239	178.476	452.252	328.379	133.583	391.073	301.802	187.123	317.813	477.002	47.194	191.768	475.517	18.556	319.740	469.115	34.313	365.206	447.091	29.860	364.313	489.213	30.335	412.554	475.024	62.268	124.119	468.481	-3.555
65	0.32000	420.504	336.754	221.157	391.080	395.228	178.482	452.252	328.364	133.577	391.107	301.667	187.258	317.811	476.985	47.202	191.731	475.525	18.581	319.734	469.098	34.326	365.206	447.104	29.858	364.325	489.212	30.340	412.556	475.019	62.268	124.108	468.487	-3.521
66	0.32500	420.501	336.741	221.154	391.086	395.231	178.487	452.253	328.381	133.579	391.091	301.670	187.270	317.821	476.985	47.203	191.741	475.522	18.587	319.737	469.105	34.308	365.214	447.087	29.861	364.315	489.234	30.347	412.559	475.027	62.264	124.112	468.481	-3.518
67	0.33000	420.548	336.716	221.195	391.083	395.247	178.482	452.251	328.386	133.577	391.075	301.800	187.135	317.819	476.979	47.205	191.745	475.510	18.586	319.746	469.124	34.278	365.207	447.087	29.862	364.320	489.211	30.348	412.552	475.025	62.260	124.113	468.474	-3.524
68	0.33500	420.538	336.715	221.197	391.082	395.234	178.482	452.250	328.380	133.573	391.073	301.786	187.140	317.812	476.997	47.183	191.755	475.510	18.586	319.730	469.127	34.297	365.203	447.106	29.863	364.291	489.242	30.344	412.554	475.038	62.263	124.106	468.467	-3.526
69	0.34000	420.541	336.720	221.187	391.085	395.240	178.487	452.253	328.384	133.570	391.102	301.661	187.271	317.821	476.990	47.202	191.746	475.536	18.551	319.742	469.108	34.315	365.196	447.110	29.866	364.325	489.229	30.345	412.547	475.047	62.268	124.118	468.490	-3.559
70	0.34500	420.538	336.724	221.201	391.091	395.235	178.496	452.252	328.386	133.574	391.070	301.801	187.142	317.829	476.988	47.194	191.736	475.522	18.569	319.745	469.144	34.272	365.234	447.119	29.854	364.312	489.228	30.347	412.544	475.034	62.270	124.119	468.486	-3.555
71	0.35000	420.501	336.741	221.158	391.080	395.237	178.494	452.250	328.373	133.570	391.066	301.805	187.134	317.826	476.995	47.192	191.736	475.525	18.580	319.745	469.154	34.281	365.205	447.098	29.858	364.313	489.215	30.332	412.552	475.057	62.270	124.111	468.482	-3.532
72	0.35500	420.501	336.753	221.148	391.082	395.241	178.492	452.256	328.374	133.567	391.095	301.669	187.259	317.825	476.978	47.190	191.747	475.540	18.550	319.738	469.138	34.284	365.214	447.105	29.848	364.316	489.239	30.337	412.559	475.025	62.258	124.120	468.510	-3.566
73	0.36000	420.503	336.752	221.161	391.087	395.249	178.483	452.245	328.383	133.577	391.064	301.804	187.137	317.816	476.978	47.200	191.732	475.549	18.569	319.741	469.131	34.296	365.211	447.099	29.870	364.324	489.227	30.360	412.553	475.032	62.261	124.114	468.515	-3.543
74	0.36500	420.502	336.758	221.159	391.084	395.238	178.485	452.246	328.382	133.570	391.069	301.798	187.132	317.820	476.987	47.191	191.737	475.527	18.559	319.733	469.135	34.275	365.197	447.099	29.853	364.308	489.232	30.350	412.557	475.044	62.275	124.113	468.490	-3.563
75	0.37000	420.504	336.754	221.156	391.079	395.239	178.490	452.245	328.384	133.567	391.070	301.782	187.146	317.831	476.986	47.179	191.743	475.527	18.541	319.742	469.123	34.288	365.204	447.108	29.872	364.306	489.226	30.344	412.550	475.037	62.275	124.121	468.484	-3.583
76	0.37500	420.502	336.758	221.153	391.080	395.244	178.483	452.261	328.393	133.571	391.097	301.677	187.258	317.816	476.988	47.189	191.726	475.549	18.541	319.727	469.137	34.290	365.220	447.100	29.861	364.319	489.214	30.339	412.551	475.049	62.272	124.116	468.506	-3.577
