FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z
45,0.22000,skull,phantom3,Measured,351.603,347.257,90.448
45,0.22000,skull,phantom4,Measured,301.798,320.095,154.356
45,0.22000,catheter,tip1,Measured,303.312,84.560,-20.424
45,0.22000,catheter,tip2,Measured,356.268,72.261,3.584
45,0.22000,catheter,tip3,Virtual,60.981,67.445,-21.780
45,0.22000,catheter,tip4,Measured,305.267,42.793,-19.778
46,0.22500,skull,phantom1,Measured,338.605,353.412,182.618
46,0.22500,skull,phantom2,Measured,302.098,413.470,148.466
46,0.22500,skull,phantom3,Measured,351.613,347.250,90.447
46,0.22500,skull,phantom4,Measured,301.809,320.090,154.372
46,0.22500,catheter,tip1,Measured,303.301,84.566,-20.443
46,0.22500,catheter,tip2,Measured,356.271,72.271,3.573
46,0.22500,catheter,tip3,Virtual,60.982,67.413,-21.807
46,0.22500,catheter,tip4,Measured,305.277,42.805,-19.790
47,0.23000,skull,phantom1,Measured,338.605,353.397,182.609
47,0.23000,skull,phantom2,Measured,302.102,413.452,148.479
47,0.23000,skull,phantom3,Measured,351.611,347.251,90.445
47,0.23000,skull,phantom4,Measured,301.819,320.081,154.364
47,0.23000,catheter,tip1,Measured,303.321,84.547,-20.437
47,0.23000,catheter,tip2,Measured,356.261,72.272,3.590
47,0.23000,catheter,tip3,Virtual,60.985,67.425,-21.948
47,0.23000,catheter,tip4,Measured,305.261,42.827,-19.834
48,0.23500,skull,phantom1,Measured,338.608,353.381,182.602
48,0.23500,skull,phantom2,Measured,302.099,413.461,148.480
48,0.23500,skull,phantom3,Measured,351.617,347.246,90.444
48,0.23500,skull,phantom4,Measured,301.825,320.079,154.363
48,0.23500,catheter,tip1,Measured,303.319,84.539,-20.435
48,0.23500,catheter,tip2,Measured,356.272,72.264,3.579
48,0.23500,catheter,tip3,Virtual,60.940,67.724,-21.739
48,0.23500,catheter,tip4,Measured,305.135,42.762,-19.786
49,0.24000,skull,phantom1,Measured,338.612,353.388,182.610
49,0.24000,skull,phantom2,Measured,302.111,413.444,148.482
49,0.24000,skull,phantom3,Measured,351.613,347.240,90.433
49,0.24000,skull,phantom4,Measured,301.825,320.070,154.357
49,0.24000,catheter,tip1,Measured,303.291,84.575,-20.442
49,0.24000,catheter,tip2,Measured,356.265,72.271,3.570
49,0.24000,catheter,tip3,Virtual,60.981,67.371,-21.794
49,0.24000,catheter,tip4,Measured,305.292,42.810,-19.789
50,0.24500,skull,phantom1,Measured,338.626,353.373,182.592
50,0.24500,skull,phantom2,Measured,302.118,413.427,148.491
50,0.24500,skull,phantom3,Measured,351.618,347.228,90.436
50,0.24500,skull,phantom4,Measured,301.829,320.063,154.353
50,0.24500,catheter,tip1,Measured,303.311,84.548,-20.456
50,0.24500,catheter,tip2,Measured,356.263,72.269,3.580
50,0.24500,catheter,tip3,Virtual,60.986,67.399,-21.966
50,0.24500,catheter,tip4,Measured,305.269,42.816,-19.837
51,0.25000,skull,phantom1,Measured,338.618,353.368,182.595
51,0.25000,skull,phantom2,Measured,302.122,413.429,148.484
51,0.25000,skull,phantom3,Measured,351.626,347.227,90.443
51,0.25000,skull,phantom4,Measured,301.825,320.047,154.347
51,0.25000,catheter,tip1,Measured,303.306,84.556,-20.447
51,0.25000,catheter,tip2,Measured,356.273,72.256,3.577
51,0.25000,catheter,tip3,Virtual,60.991,67.415,-21.885
51,0.25000,catheter,tip4,Measured,305.289,42.825,-19.819
52,0.25500,skull,phantom1,Measured,338.633,353.372,182.590
52,0.25500,skull,phantom2,Measured,302.126,413.427,148.472
52,0.25500,skull,phantom3,Measured,351.616,347.222,90.422
52,0.25500,skull,phantom4,Measured,301.827,320.050,154.357
52,0.25500,catheter,tip1,Measured,303.309,84.569,-20.437
52,0.25500,catheter,tip2,Measured,356.275,72.270,3.573
52,0.25500,catheter,tip3,Virtual,60.983,67.458,-21.835
52,0.25500,catheter,tip4,Measured,305.267,42.832,-19.826
53,0.26000,skull,phantom1,Measured,338.634,353.368,182.593
53,0.26000,skull,phantom2,Measured,302.127,413.427,148.483
53,0.26000,skull,phantom3,Measured,351.622,347.217,90.425
53,0.26000,skull,phantom4,Measured,301.840,320.043,154.344
53,0.26000,catheter,tip1,Measured,303.295,84.570,-20.451
53,0.26000,catheter,tip2,Measured,356.265,72.263,3.578
53,0.26000,catheter,tip3,Virtual,60.977,67.475,-21.837
53,0.26000,catheter,tip4,Measured,305.272,42.813,-19.783
54,0.26500,skull,phantom1,Measured,338.629,353.351,182.579
54,0.26500,skull,phantom2,Measured,302.132,413.431,148.482
54,0.26500,skull,phantom3,Measured,351.619,347.220,90.419
54,0.26500,skull,phantom4,Measured,301.843,320.043,154.345
54,0.26500,catheter,tip1,Measured,303.308,84.561,-20.437
54,0.26500,catheter,tip2,Measured,356.267,72.261,3.577
54,0.26500,catheter,tip3,Virtual,60.985,67.452,-21.840
54,0.26500,catheter,tip4,Measured,305.279,42.830,-19.804
55,0.27000,skull,phantom1,Measured,338.632,353.350,182.584
55,0.27000,skull,phantom2,Measured,302.127,413.420,148.475
55,0.27000,skull,phantom3,Measured,351.623,347.220,90.415
55,0.27000,skull,phantom4,Measured,301.839,320.038,154.348
55,0.27000,catheter,tip1,Measured,303.300,84.556,-20.433
55,0.27000,catheter,tip2,Measured,356.265,72.264,3.575
